filename,filepath,label
2020.acl-main.372.pdf-Figure5.png,../../../data/SciFig-pilot/bar charts/2020.acl-main.372.pdf-Figure5.png,bar charts
2020.acl-main.117.pdf-Figure3.png,../../../data/SciFig-pilot/bar charts/2020.acl-main.117.pdf-Figure3.png,bar charts
2020.acl-main.244.pdf-Figure1.png,../../../data/SciFig-pilot/bar charts/2020.acl-main.244.pdf-Figure1.png,bar charts
2020.acl-main.627.pdf-Figure9.png,../../../data/SciFig-pilot/bar charts/2020.acl-main.627.pdf-Figure9.png,bar charts
2020.acl-main.244.pdf-Figure2.png,../../../data/SciFig-pilot/bar charts/2020.acl-main.244.pdf-Figure2.png,bar charts
2019.jeptalnrecital-court.17.pdf-Figure2.png,../../../data/SciFig-pilot/bar charts/2019.jeptalnrecital-court.17.pdf-Figure2.png,bar charts
2020.acl-main.123.pdf-Figure4.png,../../../data/SciFig-pilot/bar charts/2020.acl-main.123.pdf-Figure4.png,bar charts
2020.acl-main.222.pdf-Figure1.png,../../../data/SciFig-pilot/bar charts/2020.acl-main.222.pdf-Figure1.png,bar charts
2020.acl-main.372.pdf-Figure1.png,../../../data/SciFig-pilot/bar charts/2020.acl-main.372.pdf-Figure1.png,bar charts
2016.jeptalnrecital-jep.22.pdf-Figure3.png,../../../data/SciFig-pilot/bar charts/2016.jeptalnrecital-jep.22.pdf-Figure3.png,bar charts
2020.acl-main.267.pdf-Figure5.png,../../../data/SciFig-pilot/bar charts/2020.acl-main.267.pdf-Figure5.png,bar charts
1994.amta-1.25.pdf-Figure3.png,../../../data/SciFig-pilot/bar charts/1994.amta-1.25.pdf-Figure3.png,bar charts
2020.acl-main.158.pdf-Figure5.png,../../../data/SciFig-pilot/bar charts/2020.acl-main.158.pdf-Figure5.png,bar charts
2019.jeptalnrecital-court.15.pdf-Figure4.png,../../../data/SciFig-pilot/bar charts/2019.jeptalnrecital-court.15.pdf-Figure4.png,bar charts
2020.acl-main.627.pdf-Figure7.png,../../../data/SciFig-pilot/bar charts/2020.acl-main.627.pdf-Figure7.png,bar charts
2016.jeptalnrecital-jep.22.pdf-Figure4.png,../../../data/SciFig-pilot/bar charts/2016.jeptalnrecital-jep.22.pdf-Figure4.png,bar charts
2020.acl-main.201.pdf-Figure2.png,../../../data/SciFig-pilot/bar charts/2020.acl-main.201.pdf-Figure2.png,bar charts
2020.acl-main.263.pdf-Figure4.png,../../../data/SciFig-pilot/bar charts/2020.acl-main.263.pdf-Figure4.png,bar charts
2020.acl-main.113.pdf-Figure3.png,../../../data/SciFig-pilot/bar charts/2020.acl-main.113.pdf-Figure3.png,bar charts
2015.jeptalnrecital-demonstration.6.pdf-Figure1.png,../../../data/SciFig-pilot/bar charts/2015.jeptalnrecital-demonstration.6.pdf-Figure1.png,bar charts
2020.acl-main.219.pdf-Figure5.png,../../../data/SciFig-pilot/bar charts/2020.acl-main.219.pdf-Figure5.png,bar charts
2020.acl-main.375.pdf-Figure4.png,../../../data/SciFig-pilot/bar charts/2020.acl-main.375.pdf-Figure4.png,bar charts
2020.acl-main.159.pdf-Figure2.png,../../../data/SciFig-pilot/bar charts/2020.acl-main.159.pdf-Figure2.png,bar charts
2020.acl-main.39.pdf-Figure6.png,../../../data/SciFig-pilot/bar charts/2020.acl-main.39.pdf-Figure6.png,bar charts
2020.acl-main.286.pdf-Figure4.png,../../../data/SciFig-pilot/bar charts/2020.acl-main.286.pdf-Figure4.png,bar charts
2016.jeptalnrecital-jep.60.pdf-Figure1.png,../../../data/SciFig-pilot/bar charts/2016.jeptalnrecital-jep.60.pdf-Figure1.png,bar charts
2020.acl-main.263.pdf-Figure2.png,../../../data/SciFig-pilot/bar charts/2020.acl-main.263.pdf-Figure2.png,bar charts
2019.jeptalnrecital-tia.5.pdf-Figure2.png,../../../data/SciFig-pilot/bar charts/2019.jeptalnrecital-tia.5.pdf-Figure2.png,bar charts
2020.acl-main.181.pdf-Figure2.png,../../../data/SciFig-pilot/bar charts/2020.acl-main.181.pdf-Figure2.png,bar charts
2020.acl-main.244.pdf-Figure3.png,../../../data/SciFig-pilot/bar charts/2020.acl-main.244.pdf-Figure3.png,bar charts
2007.sigdial-1.23.pdf-Figure5.png,../../../data/SciFig-pilot/bar charts/2007.sigdial-1.23.pdf-Figure5.png,bar charts
2020.acl-main.159.pdf-Figure1.png,../../../data/SciFig-pilot/bar charts/2020.acl-main.159.pdf-Figure1.png,bar charts
2020.acl-main.210.pdf-Figure6.png,../../../data/SciFig-pilot/bar charts/2020.acl-main.210.pdf-Figure6.png,bar charts
2020.acl-main.286.pdf-Figure5.png,../../../data/SciFig-pilot/bar charts/2020.acl-main.286.pdf-Figure5.png,bar charts
2020.acl-main.331.pdf-Figure3.png,../../../data/SciFig-pilot/bar charts/2020.acl-main.331.pdf-Figure3.png,bar charts
2020.acl-main.307.pdf-Figure2.png,../../../data/SciFig-pilot/bar charts/2020.acl-main.307.pdf-Figure2.png,bar charts
2007.sigdial-1.12.pdf-Figure7.png,../../../data/SciFig-pilot/bar charts/2007.sigdial-1.12.pdf-Figure7.png,bar charts
2020.acl-demos.20.pdf-Figure3.png,../../../data/SciFig-pilot/bar charts/2020.acl-demos.20.pdf-Figure3.png,bar charts
2014.lilt-11.3.pdf-Figure6.png,../../../data/SciFig-pilot/bar charts/2014.lilt-11.3.pdf-Figure6.png,bar charts
2020.acl-main.169.pdf-Figure2.png,../../../data/SciFig-pilot/bar charts/2020.acl-main.169.pdf-Figure2.png,bar charts
